HV,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
249,0.045569967,3.878552796,0.000862984,2.33499767,1.076408096,-0.012979576,53.81694873,5387.076568,-6.250331971,0.077212487,0.197869803,10.000999,5.22332812,4.063006993,23,1,1,21,63.50878122,0.320977923,10.28066307,-0.055301329
110,0.031095064,3.412336141,-0.000808601,1.69115061,1.076547573,-0.012710374,54.63145055,5457.68191,-13.14544938,0.055176984,0.143500558,8.530530531,6.765544323,4.248608609,28,1,1,26,83.82978979,0.26134016,10.57692497,-0.038892123
131,0.035341042,2.904672334,-0.004072655,1.97340648,1.076463773,-0.012970583,53.84482482,5395.251447,-10.38486366,0.059884394,0.155477608,8.657684631,7.998545823,4.224181637,28,1,1,26,82.20134731,0.28707661,11.56578367,-0.046797216
388,0.04358345,2.109219548,0.002038399,2.635387907,1.076239967,-0.013331561,51.73330014,5183.676674,-7.018394782,0.070047015,0.182976622,8.999001996,10.89545858,4.158612774,28,1,1,26,77.8301497,0.348826242,13.8466496,-0.064652963
538,0.04543887,1.955865547,-0.000930835,2.806319833,1.076173339,-0.013369293,51.10167456,5105.057288,-6.475203118,0.072541078,0.189885681,9.101101101,11.64513863,4.138998999,28,1,1,26,76.52258258,0.365802391,14.42317753,-0.069195978
487,0.049521916,1.636931278,-0.009136036,3.213199947,1.075990286,-0.013344079,49.35918661,4926.046824,-5.441187885,0.078385638,0.205801985,9.382765531,13.43424324,4.08488978,28,1,1,26,72.9153507,0.410076103,15.76116923,-0.080272963
162,0.025497185,157.9722859,0.005183532,1.266654041,1.076592835,-0.011994994,56.58516583,5652.858067,-18.45081512,0.065983479,0.176860664,9.153153153,0.131318506,4.121381381,22,2,1,19,76.70457457,0.319363907,12.97381389,-0.051418131
170,0.029368747,25.22748932,0.002792418,1.485303907,1.076533692,-0.012264874,56.00151988,5605.75214,-14.21975978,0.068168011,0.182688201,9.226773227,0.833232701,4.106433566,22,2,1,19,75.7269031,0.333478554,13.45037813,-0.056738424
200,0.032331028,12.44111493,0.000664675,1.673525377,1.076480561,-0.01245064,55.47528064,5541.980536,-11.91112164,0.070034281,0.187654321,9.296296296,1.700960219,4.093703704,22,2,1,19,74.83074074,0.345564829,13.83470508,-0.061128859
238,0.0348766,8.455219439,-0.001441024,1.851239669,1.076428311,-0.012601596,54.9572126,5501.216981,-10.35994051,0.071751317,0.192231405,9.363636364,2.512396694,4.080909091,22,2,1,19,73.95363636,0.357263621,14.19735537,-0.06522308
278,0.037027288,6.561873492,-0.003455235,2.013307372,1.076378657,-0.012721774,54.46439494,5451.885933,-9.279057411,0.073274454,0.1962821,9.426573427,3.242611534,4.068471528,22,2,1,19,73.12450549,0.368241693,14.52843873,-0.068937661
290,0.038990089,5.326752424,-0.005458233,2.169356544,1.07632871,-0.012810557,53.96682197,5391.285515,-8.426739249,0.074767745,0.200191182,9.493493493,3.98989981,4.056716717,22,2,1,19,72.27164164,0.378794486,14.820118,-0.072377936
315,0.040638371,4.57658005,0.004808401,2.308216124,1.076282337,-0.012880933,53.50476129,5345.125653,-7.799643195,0.076050787,0.203523764,9.553553554,4.634448262,4.045305305,22,2,1,19,71.48935936,0.388589543,15.08561899,-0.075465284
339,0.042145019,4.023295889,0.002735931,2.440943446,1.076236034,-0.012935538,53.04270061,5298.965791,-7.282692873,0.077262953,0.206620975,9.613613614,5.254179104,4.033893894,22,2,1,19,70.70707708,0.398212192,15.33302478,-0.078393949
392,0.043406823,3.649941877,0.000846366,2.557330781,1.076193654,-0.012979576,52.619845,5267.246485,-6.888814701,0.07827245,0.209156458,9.666333666,5.771327574,4.022917083,22,2,1,19,70.00162837,0.407081597,15.55777447,-0.081022264
521,0.045639779,3.056308306,-0.002908798,2.770983,1.07611043,-0.013013828,51.78570979,5178.570979,-6.247668657,0.080221557,0.21385549,9.777,6.814492,4.00285,22,2,1,19,68.57896,0.423590622,15.9145043,-0.085615901
546,0.048157962,2.538393128,-0.007998583,3.029585799,1.075997681,-0.013011055,50.65326275,5070.391602,-5.610173614,0.082462024,0.218816568,9.923076923,8.047337278,3.974615385,22,2,1,19,66.66692308,0.445652429,16.33065089,-0.091320321
550,0.048810834,2.42263801,-0.009521339,3.09993503,1.075963977,-0.01299999,50.31415758,5036.447174,-5.456454871,0.08304262,0.219974711,9.966033966,8.376055513,3.965974026,22,2,1,19,66.09803197,0.45218046,16.43892719,-0.092918941
544,0.05006,2.19985944,0.004165884,3.23694,1.075893212,-0.012948005,49.59987103,4959.987103,-5.166794058,0.084246339,0.22221255,10.06,9.074016,3.9486,22,2,1,19,64.8835,0.465366383,16.61362248,-0.095945415
567,0.051027836,2.03930898,0.002654309,3.346938776,1.075830168,-0.012885254,48.96242531,4901.138774,-4.948558058,0.08518117,0.223673469,10.14285714,9.632653061,3.932857143,22,2,1,19,63.80428571,0.476977832,16.73918367,-0.098470506
576,0.051841261,1.907292105,0.001199628,3.441980597,1.075769484,-0.012808146,48.34757534,4839.592291,-4.765792987,0.085981442,0.224658179,10.22277722,10.1267364,3.917672328,22,2,1,19,62.76332667,0.48795423,16.82766446,-0.10072422
593,0.052786536,1.74981733,-0.000807384,3.555355155,1.075685865,-0.012672333,47.49797243,4745.047445,-4.547892909,0.08696114,0.225428612,10.33433433,10.7551756,3.896956957,22,2,1,19,61.31968969,0.502638384,16.89046762,-0.103511845
479,0.045934803,5.359197725,-0.003754807,2.88,1.076066351,-0.013380867,51.41240772,5141.240772,-6.341624712,0.074959579,0.1984,9.6,4,3.94,22,2,1,19,68.998,0.450783271,17.3288,-0.096164865
494,0.047011702,7.858861333,-0.006173431,3.024915563,1.075999645,-0.013240848,50.77769196,5067.613658,-5.991062514,0.071168033,0.185784806,9.565130261,2.680679997,3.896412826,22,2,1,19,68.47042084,0.472860479,18.08396661,-0.104167525
486,0.046461931,6.248432105,-0.004893485,2.950345741,1.076034928,-0.013351596,51.11358822,5106.247463,-6.184985516,0.073374769,0.193058404,9.583583584,3.412196982,3.919479479,22,2,1,19,68.74961962,0.461243484,17.69941922,-0.099925151
408,0.045398765,4.765278645,-0.002671664,2.809584359,1.076096271,-0.013356438,51.69665066,5164.495401,-6.480411071,0.076165315,0.202494386,9.615615616,4.504107711,3.95951952,22,2,1,19,69.23426426,0.440713954,16.95133981,-0.092596278
370,0.044887802,4.36259884,-0.001699601,2.743484225,1.076123148,-0.013295461,51.95174048,5189.978874,-6.598522796,0.077014002,0.205349794,9.62962963,4.910836763,3.977037037,22,2,1,19,69.4462963,0.431570215,16.59190672,-0.089397809
358,0.044246753,2.908876439,0.000806559,2.640664031,1.076229325,-0.014532595,52.25263957,5230.489221,-7.423015423,0.075261872,0.200331237,9.415584416,8.296654395,4.094295704,29,2,1,26,72.74095904,0.378338362,14.54973294,-0.072660593
586,0.046492643,2.670063541,-0.003782799,2.93,1.076087637,-0.014533432,51.25994672,5125.994672,-6.723566536,0.078310512,0.2088,9.5,8.92,4.041,29,2,1,26,71.617,0.418642481,16.2919,-0.085912194
601,0.043679474,3.25633352,0.000786977,2.72349828,1.076158451,-0.014532595,51.69731899,5174.901631,-7.617077417,0.072465019,0.193921523,9.083916084,7.578647127,4.066103896,29,2,1,26,76.19445554,0.394875858,16.34765363,-0.081771053
295,0.043675647,3.102892244,-0.008261231,2.532544379,1.076309577,-0.01423228,52.79314286,5284.5936,-7.460978752,0.072346682,0.189585799,9.307692308,7.668639053,4.113076923,29,2,1,26,73.11769231,0.361929503,13.71502959,-0.067407786
584,0.050340694,2.32558973,-0.006833548,2.839506173,1.076218047,-0.013145213,51.60580747,5155.420166,-5.187155192,0.081222696,0.209135802,10.11111111,8.691358025,4.054444444,23,1,1,21,62.69888889,0.348883074,11.07308642,-0.062144653
310,0.04297073,2.813586219,0.002613495,2.49704142,1.076276594,-0.01423228,52.75625132,5280.900757,-7.707775188,0.074885877,0.197869822,9.461538462,8.426035503,4.120769231,29,2,1,26,72.90692308,0.362678262,13.7312426,-0.067491313
451,0.044645902,3.078833563,0.000788058,2.661372593,1.076247069,-0.014532595,52.27252267,5232.47952,-7.290880265,0.073773389,0.195493717,9.332667333,7.854319507,4.09014985,29,2,1,26,72.85455544,0.377914825,14.54020038,-0.072606363
546,0.047786155,2.798159032,-0.003781183,2.84,1.076194294,-0.014533432,51.64483672,5164.483672,-6.364495812,0.077978306,0.206,9.7,8.32,4.059,29,2,1,26,68.099,0.386595419,13.8293,-0.072474636
607,0.04196323,3.432405046,0.002579922,2.639053254,1.076145021,-0.01423228,51.72589748,5177.762337,-8.082331661,0.070076076,0.186863905,8.846153846,7.195266272,4.068461538,29,2,1,26,79.31461538,0.389106498,16.8104142,-0.082765625
537,0.044645902,3.382829342,0.000788058,2.661372593,1.076247069,-0.014532595,52.01645855,5206.847501,-7.290880265,0.072205164,0.191973262,9.24975025,7.16381321,4.081028971,29,2,1,26,73.27743257,0.376969369,14.64581405,-0.072689372
514,0.043675647,3.683631421,-0.008261231,2.532544379,1.076309577,-0.01423228,52.31803594,5237.035397,-7.460978752,0.069612997,0.183550296,9.153846154,6.485207101,4.096153846,29,2,1,26,73.90230769,0.360270773,13.89609467,-0.067583925
