formula,HV
Co25Cu25Fe25Ni25,154
Co23.8Cr5Cu23.8Fe23.8Ni23.8,153
Co22.5Cr10Cu22.5Fe22.5Ni22.5,158
Co21.3Cr15Cu21.3Fe21.3Ni21.3,161
Co16.7Cr33.3Cu16.7Fe16.7Ni16.7,172
Co25Cr25Cu25Ni25,183
Co23.8Cr23.8Cu23.8Fe5Ni23.8,182
Co22.5Cr22.5Cu22.5Fe10Ni22.5,172
Co21.3Cr21.3Cu21.3Fe15Ni21.3,171
Co16.7Cr16.7Cu16.7Fe33.3Ni16.7,157
Co22.5Cr22.5Cu22.5Fe22.5Ni10,170
Co21.3Cr21.3Cu21.3Fe21.3Ni15,167
Co16.7Cr16.7Cu16.7Fe16.7Ni33.3,158
Co26.7Cr26.7Fe26.7Ni20,140
Co20Cr20Fe20Ni40,125
Al14.3Co14.3Cr14.3Fe14.3Ni42.9,242
Al15.4Co15.4Cr15.4Fe15.4Ni38.5,265
Al16.7Co16.7Cr16.7Fe16.7Ni33.3,335
Co28.3Cr28.3Fe28.3Ni15,170
Al5Co31.7Cr31.7Fe31.7,475
Al10Co30Cr30Fe30,620
Al18.2Co18.2Cr18.2Fe18.2Ni27.3,503
Al21.3Co21.3Cr21.3Fe21.3Ni15,555
Al22.5Co22.5Cr22.5Fe22.5Ni10,548
Al23.8Co23.8Cr23.8Fe23.8Ni5,615
Al25Co25Cr25Fe25,720
Al23.8Co5Cr23.8Fe23.8Ni23.8,550
Al22.5Co10Cr22.5Fe22.5Ni22.5,539
Al16.7Co33.3Cr16.7Fe16.7Ni16.7,532
Al23.8Co23.8Cr5Fe23.8Ni23.8,438
Al22.5Co22.5Cr10Fe22.5Ni22.5,476
Al21.3Co21.3Cr15Fe21.3Ni21.3,510
Al16.7Co16.7Cr33.3Fe16.7Ni16.7,617
Al25Co25Cr25Ni25,712
Al23.8Co23.8Cr23.8Fe5Ni23.8,665
Al22.5Co22.5Cr22.5Fe10Ni22.5,587
Al21.3Co21.3Cr21.3Fe15Ni21.3,558
Al15Co28.3Cr28.3Fe28.3,655
Al20Co26.7Cr26.7Fe26.7,695
Al40Co20Cr20Fe20,775
Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9,183
Al13.8Co17.2Cr17.2Cu17.2Fe17.2Ni17.2,272
Al20.6Co15.9Cr15.9Cu15.9Fe15.9Ni15.9,473
Al26.5Co14.7Cr14.7Cu14.7Fe14.7Ni14.7,604
Al23.1Co15.4Cr15.4Cu15.4Fe15.4Ni15.4,508
Al31.5Co13.7Cr13.7Cu13.7Fe13.7Ni13.7,602
Al33.3Co13.3Cr13.3Cu13.3Fe13.3Ni13.3,623
Al35.9Co12.8Cr12.8Cu12.8Fe12.8Ni12.8,653
Al37.5Co12.5Cr12.5Cu12.5Fe12.5Ni12.5,688
Al2.4Co24.4Cr24.4Fe24.4Ni24.4,118
Al14.9Co21.3Cr21.3Fe21.3Ni21.3,338
Al16.7Co20.8Cr20.8Fe20.8Ni20.8,382
Al18.4Co20.4Cr20.4Fe20.4Ni20.4,527
Al31Co17.2Cr17.2Fe17.2Ni17.2,482
Al14.3Co42.9Cu14.3Fe14.3Ni14.3,166
Al23.8Co4.8Cu23.8Fe23.8Ni23.8,531
Al22.2Co11.1Cu22.2Fe22.2Ni22.2,545
Al18.2Co27.3Cu18.2Fe18.2Ni18.2,366
Al16.7Co33.3Cu16.7Fe16.7Ni16.7,249
Al5.9Co23.5Cr23.5Fe23.5Ni23.5,110
Al15.8Co21.1Cr21.1Fe21.1Ni21.1,388
Al17.9Co20.5Cr20.5Fe20.5Ni20.5,538
Al3.8Cr19.2Cu19.2Fe19.2Ni38.5,162
Al5.7Cr18.9Cu18.9Fe18.9Ni37.7,170
Al7.4Cr18.5Cu18.5Fe18.5Ni37,200
Al9.1Cr18.2Cu18.2Fe18.2Ni36.4,238
Al10.7Cr17.9Cu17.9Fe17.9Ni35.7,278
